81699;Ticket Travel Group AB
81701;LGP Allgon Holding AB
81702;Scandinavian PC Systems AB
81704;Dial n' Smile AB
81706;Johnson Pump AB/Old
81707;North Atlantic Natural Resources AB
81708;Binar AB
81709;Prosolvia AB
81710;Pandox AB
81714;Digital Illusions CE AB
81715;D Carnegie & Co AB
81718;Sendit AB
81719;Liljeholmens Stearinfabriks AB
81720;Wilkenson Handskmakar'n AB
81721;Megacon AB
81724;FB Industri Holding AB
81725;TPC Security AB
81728;Frontyard AB
81730;Asticus AB
81731;Nilorngruppen AB
81734;Karolin Machine Tool AB
81736;Autofill AB
81737;Sodra Petroleum AB
81738;Mandamus Fastigheter AB
81739;Guide Konsult AB
81741;MusicNetWork Records Group AB
81742;PWT Pure Water Technology AB
81743;Artika Time Media Group AB
81744;Lifco AB
81746;Fastighets AB Balder/Old
81747;Fabege AB/Old
81750;OptiMail AB
81753;Affarsstrategerna AB
81754;Brostrom AB
81755;Decim AB
81757;TDC Nordic AB
81759;CashGuard AB
81760;Multisimplex AB
81761;Swedish Brake Technology AB
81762;Bedminster AB
81763;IM Innovationsmaklarna AB
81764;Strand Interconnect AB
81766;Reguard AB
81767;Novada AB
81768;Zeunerts AB
81769;Ahus Glass AB
81770;Tatura International AB
81771;Estinvest AB
81772;Home Properties AB
81773;Focal Point AB
81775;Kipling Holding AB
81777;Svensk Fastighetsfond AB
81778;Utfors AB
81780;CISL Gruppen AB
81782;Custos AB/Orebro
81783;Push Development AB
81784;Oden Control AB
81785;Gunnebo Industrier AB
81786;Securitas Direct AB
81787;HQ Fonder AB
81788;Pergo AB
81789;Epsilon AB
81791;Renewable Energy in Sweden AB
81792;Svenska Kaolin AB
81795;Gant Co AB
81797;Cartesia Informationsteknik AB
81798;RKS AB
81799;Telelogic AB
81800;Skultuna Messingsbruk AB
81801;Teligent AB
81805;Frango AB
81806;El & Industrimontage Svenska AB
81808;PerBio Science AB
81810;Optimum Optik AB
81812;LBI International AB
81814;Perstorp AB
81815;Gambro AB
81816;Astra AB
81817;ABB AB
81818;Skandia Forsakrings AB
81819;Stora Kopparbergs Bergslags
81820;Y.C.O. BUSINESSPARTNERS AB
81821;Avesta Sheffield AB
81822;ASG AB
81823;BTL AB
81824;Esselte AB
81825;Scancem AB
81826;ICB Shipping AB
81827;Marieberg Tidnings AB
81828;Svedala Industri AB
81829;E.ON Sverige AB
81830;Trygg-Hansa Forsakrings AB
81831;NeoNet AB
81832;Centrecourt AB
81834;Dacke Group Nordic AB
81835;Svithoid Tankers AB
81836;TMG International AB
81837;Glocalnet AB
81838;Scandinavia Online
81839;Kontakt East Holding AB
81840;Gymgrossisten Nordic AB
81841;Arena Personal AB
81842;Peab Industri AB
81844;FastTV net AB
81845;Boss Media AB
81846;Persea AB
81850;JC Group AB
81852;Skribo Font AB
81853;SIX AB
81855;Zapp AB
81857;M2S Sverige AB
81858;IAR Systems AB
81860;A Brand New World in Sweden AB
81861;Bluemarx AB
81866;Micro Holding AB
81867;Din Bostad Sverige AB
81868;Audio Development Informationsteknik i Malmo AB
81869;Castcom AB
81870;Netwise AB
81871;Annehem Fastigheter AB
81873;Esoteric Golf Technology International AB
81874;Jobline International
81875;Capio Group Services AB
81876;Dimension AB
81877;AU-System AB
81878;SharpView AB
81879;Ancora Energispar AB
81880;Acrimo AB
81881;Allgon AB/Old
81882;Evidentia Fastigheter AB
81883;N&T Argonaut AB
81884;Boras Waefveri AB
81885;Bravida AB
81886;Celsius AB
81887;Celtica Fastighets AB
81888;Custos AB/Stockholm
81889;Cyncrona AB
81890;Hebi Health Care AB
81891;Dios Anders AB
81892;Humlegarden Fastigheter AB
81893;Folkebolagen AB
81894;Forcenergy AB
81895;Forsakrings AB Atlantica
81896;Frontline AB
81897;Rederi AB Gotland
81898;Graninge AB
81899;Gullsprang Kraft AB
81900;Jacobson & Widmark AB
81901;JP Bank
81903;Karlshamns AB
81904;Industriforvaltnings AB Kinnevik
81905;Klovern Forvaltnings AB
81906;Linjebuss AB
81908;Emil Lundgren AB
81909;Maldata AB
81910;Martinsson Gruppen AB
81911;Narkes Elektriska AB
81912;Nordstrom & Thulin AB
81913;OMX AB
81914;Ostgota Enskilda Bank
81915;Piren AB
81916;Platzer Fastigheter AB
81917;PLM AB
81918;Prifast AB
81919;JP Nordiska AB
81920;Realia AB/OLD
81921;Sandblom & Stohne AB
81922;Talisman Energy Sweden AB
81923;Scandiaconsult AB
81924;Siab AB
81925;Sifab Fastighets AB
81926;Skanditek Industriforvaltning AB
81927;Skoogs AB
81928;Solitair Kapital AB
81929;Spectra-Physics AB
81930;Spendrups Bryggeri AB
81931;Stena Line AB
81932;SAS Sverige AB
81933;Rorviksgruppen AB
81934;Tivox AB
81935;Trustor AB
81936;United Tankers AB
81937;Vbbgruppen AB
81938;VLT AB
