date;World;Advanced Economies;G7;Asia;Europe;Africa;Americas;G20;Oceania;Emerging Market and Developing Economies
2020-Q2;110.3739593;111.5029157;111.1952136;107.7702402;117.5072784;112.7039423;108.6219299;110.0208759;111.8575596;109.5346367
2020-Q3;111.1253179;111.24486;111.0927035;109.15585;116.6433917;114.2522979;109.3518146;110.7039897;112.6478359;111.0399581
2020-Q4;112.61285;111.9270386;111.8099643;110.9719683;118.2648673;116.6495532;109.9872518;112.1419691;113.8358865;113.0883321
2021-Q1;114.4553384;113.0951954;112.9885742;112.6488484;120.4590127;116.7979162;112.2583446;114.1973445;116.0903582;115.3974926
2021-Q2;115.4379896;114.8180859;114.1962107;112.7075589;122.0256038;118.7395999;114.0047409;115.0942924;119.303661;115.8858118
2021-Q3;117.2028592;116.8844716;115.9918132;114.4132933;124.4862149;119.5833381;115.6253597;116.8706678;121.0034353;117.4274609
2021-Q4;119.6575862;118.6550916;117.9326035;117.8590264;126.5454958;120.2846779;117.0493031;119.3850792;120.4116171;120.3635327
2022-Q1;122.0244095;121.4558628;120.6613517;120.0813444;128.9884425;122.8573884;119.5381282;121.7894926;123.8398388;122.4227333
2022-Q2;124.7737219;123.4638866;123.1340035;122.8650828;130.8536862;127.8589567;122.4577835;124.7294721;127.7739614;125.6903259
2022-Q3;125.7419975;124.9844984;124.3374332;122.9980796;132.9546567;128.6386449;124.178713;125.3950999;128.9654228;126.2686636
2022-Q4;126.9240491;126.439457;125.80188;124.0302049;134.6326894;129.5790976;125.352768;126.5762457;130.0638728;127.2598867
2023-Q1;128.1412616;127.5607712;126.8579416;125.2994046;136.0776169;131.0901248;126.2246816;127.7126515;131.9024668;128.5399619
2023-Q2;128.6610059;128.3400483;127.6480814;125.8215229;136.6506086;130.9337895;126.968127;128.3386373;131.5755717;128.8787742
2023-Q3;129.9707714;128.9058436;128.5406964;128.0185861;136.5554414;132.1003867;127.7519535;129.9035169;132.3914973;130.6879861
2023-Q4;130.7587108;129.5370217;129.0983546;128.5818141;137.5795162;133.0451476;128.7714725;130.6583815;133.7999129;131.5777588
2024-Q1;131.7616827;130.2604055;129.9196171;129.3475306;138.7391354;133.6115961;130.2384312;131.6879106;135.1412605;132.7612718
2024-Q2;132.2958309;131.3226131;130.8231076;129.9127733;139.4691736;134.5426558;130.489232;132.0937789;135.3239916;132.9414674
2024-Q3;132.6186364;132.0954721;131.5967174;130.0354121;140.536417;135.1784763;130.5785582;132.3599626;135.5236999;132.963835
2024-Q4;133.4581521;133.2232905;132.4375224;130.9571228;141.6050649;136.2312913;131.0164058;133.1231043;136.8722708;133.6119884
2025-Q1;134.5826387;133.9680403;133.3969067;132.1124344;142.5815305;135.6768818;132.6090524;134.2987158;138.1526028;134.9809301
2025-Q2;135.7807807;134.6085131;134.2982407;133.5898371;143.4588538;136.4087583;133.7009668;135.6000667;138.2146788;136.5352772
2025-Q3;136.4708655;135.3416586;135.0063525;133.7739262;144.6235302;138.8854733;134.6685038;136.2125682;140.137492;137.1944611
