Sector,variable,n_obs,beta,ci_lower_999,ci_upper_999
Utilities,Fuel_Index,148,0.01644107289855885,0.012126112071170099,0.0207560337259476
Utilities,GDP_Growth,148,-0.027563063916738705,-0.06480302149731113,0.009676893663833723
Utilities,GPR_Global,148,-0.00239004211991525,-0.004648827242857904,-0.00013125699697259536
Utilities,Interest_Rate,148,0.06104282955187343,0.020612880241851428,0.10147277886189543
Wholesale & Retail Trade,Brent_Oil,148,-0.006733881328932445,-0.009888486501122635,-0.0035792761567422548
Wholesale & Retail Trade,CPI,148,0.02559268527961044,-0.3094813408848543,0.3606667114440752
Wholesale & Retail Trade,Fuel_Index,148,0.004176274642820106,8.20638617315848e-05,0.008270485423908628
Wholesale & Retail Trade,GDP_Growth,148,0.0033464200590612417,-0.03198837020041992,0.03868121031854241
Wholesale & Retail Trade,GPR_Global,148,0.0013823009459422379,-0.0007609264835662418,0.0035255283754507174
Wholesale & Retail Trade,Interest_Rate,148,0.011520624674133699,-0.026840959814253447,0.04988220916252085
