Sector,variable,n_obs,beta,ci_lower_999,ci_upper_999
Services,GDP_Growth_lag1,148,0.005831547414230763,-0.016971094776489407,0.028634189604950934
Services,GDP_Growth_lag2,148,0.003854055295719786,-0.01647299662614602,0.024181107217585596
Services,GPR_Global,148,-0.00044788359690043153,-0.001569422924402535,0.000673655730601672
Services,GPR_Global_lag1,148,-2.9143449773179494e-05,-0.001285664125573353,0.001227377226026994
Services,GPR_Global_lag2,148,0.0005215819472483647,-0.0008052906321743484,0.0018484545266710779
Services,Interest_Rate,148,-0.028177059877616453,-0.18108638879301778,0.12473226903778487
Services,Interest_Rate_lag1,148,0.024826913613900475,-0.2297101536484535,0.27936398087625447
Services,Interest_Rate_lag2,148,-0.0046641505416613405,-0.13990295230460406,0.1305746512212814
Transportation,Brent_Oil,148,0.01016351554949739,-0.002648211474347413,0.022975242573342193
Transportation,Brent_Oil_lag1,148,-0.007748800711437124,-0.023502990898194933,0.008005389475320684
Transportation,Brent_Oil_lag2,148,-0.007998043615244949,-0.019703422826741573,0.0037073355962516756
Transportation,CPI,148,-0.31032543024580506,-0.9511554975220159,0.3305046370304058
Transportation,CPI_lag1,148,-0.1517105740550585,-0.812649224818683,0.509228076708566
Transportation,CPI_lag2,148,-0.012253868969398918,-0.6539916504786515,0.6294839125398536
Transportation,Fuel_Index,148,0.01463321953390131,-0.008029303722610038,0.03729574279041266
Transportation,Fuel_Index_lag1,148,0.002495460896374456,-0.03190725134584989,0.036898173138598805
Transportation,Fuel_Index_lag2,148,0.002493909833694339,-0.023463959555207126,0.028451779222595803
Transportation,GDP_Growth,148,-0.001369235578090312,-0.08804792848771537,0.08530945733153475
Transportation,GDP_Growth_lag1,148,-0.040000613433373924,-0.11287774172375631,0.03287651485700846
Transportation,GDP_Growth_lag2,148,-0.02067485395683592,-0.08564000835801949,0.04429030044434765
Transportation,GPR_Global,148,-0.001672623330044161,-0.005257057307890067,0.0019118106478017449
Transportation,GPR_Global_lag1,148,-6.058266152383816e-05,-0.004076416340967946,0.003955251017920269
Transportation,GPR_Global_lag2,148,0.0006835691207231396,-0.0035571088843429767,0.004924247125789255
Transportation,Interest_Rate,148,-0.03260040582643427,-0.5212978421568174,0.4560970305039489
Transportation,Interest_Rate_lag1,148,0.29051310611425174,-0.5229860643058057,1.1040122765343092
Transportation,Interest_Rate_lag2,148,-0.26567044882243374,-0.6978929703829624,0.16655207273809491
Utilities,Brent_Oil,148,-0.00239540211531767,-0.009449944659039065,0.004659140428403726
Utilities,Brent_Oil_lag1,148,-0.0031714176270816303,-0.011846173552454787,0.005503338298291525
Utilities,Brent_Oil_lag2,148,-0.004195396394864082,-0.010640748803966054,0.0022499560142378895
Utilities,CPI,148,0.29889015262181967,-0.053971172356613306,0.6517514776002526
