Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
96711015.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing
96157561.0,2024-08-01,,,,0.0005,,,,Transportation & Logistics
80104705.0,2024-08-01,,,,0.0005,,,,Unassigned
97271924.0,2024-08-01,,,,0.0202,,,,Energy & Resources
96285811.0,2024-08-01,,,,0.0012,,,,Energy & Resources
96285811.0,2024-08-01,,,,0.0012,,,,Energy & Resources
93368494.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
97169268.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
97628007.0,2024-08-01,,,,0.0012,,,,Financial Services
97628007.0,2024-08-01,,,,0.0012,,,,Financial Services
96923364.0,2024-08-01,,,,0.0058,,,,Utilities
94395491.0,2024-08-01,,,,0.0012,,,,Financial Services
94395491.0,2024-08-01,,,,0.0012,,,,Financial Services
97131626.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail
97131629.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing
97310173.0,2024-08-01,,,,0.0058,,,,Financial Services
87162383.0,2024-08-01,,,,0.0005,,,,Energy & Resources
82330500.0,2024-08-01,,,,0.0012,,,,Financial Services
82330500.0,2024-08-01,,,,0.0012,,,,Financial Services
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software
80104703.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80104703.0,2024-08-01,,,,0.0012,,,,Energy & Resources
82254666.0,2024-08-01,,,,0.0005,,,,Energy & Resources
97631246.0,2024-08-01,,,,0.0058,,,,Energy & Resources
97631246.0,2024-08-01,,,,0.0058,,,,Energy & Resources
97615655.0,2024-08-01,,,,0.0058,,,,Energy & Resources
80366126.0,2024-08-01,,,,0.0012,,,,Technology & Software
96183380.0,2024-08-01,,,,0.0012,,,,Technology & Software
97252035.0,2024-08-01,,,,0.0058,,,,Financial Services
96528471.0,2024-08-01,,,,0.2387,,,,Financial Services
96528468.0,2024-08-01,,,,0.2387,,,,Telecommunications & Media
96528468.0,2024-08-01,,,,0.2387,,,,Telecommunications & Media
96775696.0,2024-08-01,,,,0.2387,,,,Financial Services
96775696.0,2024-08-01,,,,0.2387,,,,Financial Services
80096102.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
96375389.0,2024-08-01,,,,0.0058,,,,Financial Services
96375389.0,2024-08-01,,,,0.0058,,,,Financial Services
83969308.0,2024-08-01,,,,0.2387,,,,Energy & Resources
96517109.0,2024-08-01,,,,0.0202,,,,Healthcare & Pharmaceuticals
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources
97639924.0,2024-08-01,,,,0.0202,,,,Real Estate & Property
96884111.0,2024-08-01,,,,0.0202,,,,Technology & Software
96884111.0,2024-08-01,,,,0.0202,,,,Technology & Software
97424365.0,2024-08-01,,,,0.0058,,,,Energy & Resources
