Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector,1_month_correlation,3_month_correlation,6_month_correlation,12_month_correlation,24_month_correlation,36_month_correlation,60_month_correlation
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing,,,,0.2370371894433999,,,
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing,,,,0.2370371894433999,,,
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing,,,,0.2370371894433999,,,
80095972.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing,,,,0.2370371894433999,,,
97310173.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
87162383.0,2024-08-01,,,,0.0005,,,,Energy & Resources,,,,0.2370371894433999,,,
82330500.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
82330500.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
